id,學校,科系,組別/軌道,學群,層級,地區,112年名額,113年名額,114年名額,三年名額淨增長,報名期間推估,複試口試推估,放榜推估,書審比例,面試比例,筆試實作比例,資格門檻,評審標準,官方網址
nthu-shisui,國立清華大學,清華學院學士班（拾穗計畫）,全校跨領域不分系,跨領域與不分系,頂尖頂大,北部,63,65,67,+4,10月中旬 (約 10/14~10/22),11月中旬,12月初,50%,50%,0%,具備強烈自主學習動機、特殊專長、實驗教育或不同教育資歷者,錄取標準極度看重在特定領域有超越常規的高中探索深度，不限特定學科，無論自學、藝術、文史、生態、程式或社會倡議均有錄取案例。口試會嚴格檢驗自學計畫之可行性與真實性。,https://admission.nthu.edu.tw/
nycu-baichuan,國立陽明交通大學,百川學士學位學程,全校跨領域不分系,跨領域與不分系,頂尖頂大,北部,41,43,45,+4,10月上中旬 (約 10/11~10/18),11月上旬,11月底/12月初,40%,60%,0%,具特殊專長、跨領域潛力、自主學習、創新創業或自學實驗教育經歷,尋找具備跳脫框架思維的開創型人才。備審需具體呈現作品集與專題產出；面試重解決未知問題的應變能力與跨領域自驅力。,https://baichuan.nycu.edu.tw/
nthu-arts-tech,國立清華大學,藝術學院學士班（科技藝術組 / 音樂科技）,科技藝術跨領域專班,藝術設計與建築,頂尖頂大,北部,3,4,4,+1,10月中旬 (約 10/14~10/22),11月中旬 (約 11/15~11/17),12月初,50%,50%,0%,具備音樂/鋼琴素養、數位藝術、科展研究、程式設計或科技藝術跨領域探究實績,極度偏好懂音樂又懂程式的跨界考生。若有高中科展佳作作為科學實證背書，搭配鋼琴檢定與自學程式作品，契合度極高！口試重視對聲音與視覺互動的思考深度。,https://ipta.site.nthu.edu.tw/
ccu-ic,國立中正大學,資訊傳播學系,數位媒體與傳播特選,資訊/資安/電資,中字輩國立,中部,2,2,2,0,10月下旬至11月初 (約 10/21~11/04),11月下旬 (約 11/22 前後),12月中旬,50%,50%,0%,具備高中科展成果、網頁/APP程式開發、影音多媒體創作或資訊傳播專案成果者,不硬性要求頂尖 APCS，非常重視學生在高中階段是否有完整的科學探究與專案成果。台中市高中科展佳作是書審的強大加分項，口試時條理清晰說明實驗過程即可獲高分。,https://ccuic.ccu.edu.tw/
yzu-ic,元智大學,資訊傳播學系（科技組 / 設計組）,多媒體科技特選,資訊/資安/電資,優質私立,北部,4,5,5,+1,10月中旬至11月上旬 (約 10/14~11/11),11月下旬 (約 11/22 前後),11月底/12月初,50%,50%,0%,高中具備科展作品、遊戲製作、程式設計、互動多媒體或數位藝術專長,高中組科展佳作在此系所幾乎具備壓倒性的錄取優勢（錄取勝率 90% 以上）。名額多且放榜早，非常適合作為提早上岸的第一道堅實防線。,https://www.infocom.yzu.edu.tw/
ncku-interdisciplinary,國立成功大學,全校不分系學士學位學程,全校跨領域不分系,跨領域與不分系,頂尖頂大,南部,15,18,20,+5,10月中下旬 (約 10/16~10/27),11月下旬,12月初,50%,50%,0%,具備跨領域實踐經驗、專題探究成果、社會關懷行動或跨界專長者,評審特別重視考生是否具備明確的跨領域學習動機，需具體論述為何傳統工學院或商學院無法涵蓋其目標，以及如何善用成大跨系資源。,https://college.ncku.edu.tw/
nccu-communication-undecided,國立政治大學,傳播學院大一大二不分系,學院不分系,跨領域與不分系,頂尖頂大,北部,5,5,6,+1,10月上中旬 (約 10/08~10/20),11月中旬,12月初,50%,50%,0%,在影音創作、新聞報導、數位媒體、文學創作或社群傳播有卓越作品者,作品集為勝負關鍵（如獨立製作紀錄片、社群十萬粉經營實例、文學大獎、得獎影音專題）。口試極度看重對當代公共議題與媒體現象的批判洞察力。,https://comm.nccu.edu.tw/
ntu-csie,國立臺灣大學,資訊工程學系,單系偏才特選,資訊/資安/電資,頂尖頂大,北部,2,2,2,0,11月上旬 (約 11/04~11/12),11月底/12月初,12月下旬,40%,60%,0%,國際資訊奧林匹亞研習營/國手、全國資訊學科能力競賽一等獎以上,全台特選最高門檻。錄取者幾乎皆為 IOI 國手、TOI 選訓營前段選手或已在 GitHub 有百萬級全球開源貢獻之奇才。,https://www.csie.ntu.edu.tw/
nycu-csie-apcs,國立陽明交通大學,資訊工程學系（APCS組 / 特選組）,資訊特選與APCS,資訊/資安/電資,頂尖頂大,北部,6,8,9,+3,10月上中旬 (約 10/11~10/18),11月上旬,11月底,40%,30%,30%,APCS 觀念4級+實作4級以上，或具備大型軟體開發、資安CTF競賽得獎,APCS 實作成績 4~5 級分是基本門檻。現場 Coding Test 題目難度約 LeetCode Medium 到 Hard，口試會深入追問提交專案的每一行架構決策。,https://www.cs.nycu.edu.tw/
nthu-csie-special,國立清華大學,資訊工程學系（特選組）,單系特選,資訊/資安/電資,頂尖頂大,北部,5,6,7,+2,10月中旬 (約 10/14~10/22),11月中旬,12月初,40%,60%,0%,APCS 實作4級分以上，或資訊學科競賽、資安競賽、開源專題成果卓越者,重視學生的程式自驅力。若曾自學開發過完整 App、Web 系統、遊戲引擎或資安工具並實際部署上線，在面試中極具競爭力。,https://www.cs.nthu.edu.tw/
